IUPAC,ACG,CTB,DC_SIGN,Gal4,LCA,MAL,NPL,PSA,SBA,SNL,UEA
Gal(a1-Sp8,7.19395,324.468675,39.21,10.62885,79.45675,590.782925,36.9277,11.327475,-11.0642,96.16605,13.575125
Glc(a1-Sp8,12.99795,919.894275,26.8728,9.12275,10.7969,1260.204425,36.26045,19.109025,-23.220075,117.628225,15.16515
Man(a1-Sp8,38.05685,255.20775,22.409025,49.749325,73.385325,89.940875,49.344525,24.3487,-11.65845,110.96955,8.503775
GalNAc(a1-Sp8,23.7804,140.216225,11.38725,20.4285,12.09665,112.160425,-2.5291,11.2539,16712.78783,55.164275,-0.808025
GalNAc(a1-Sp15,0.277,36.2797,61.7207,31.8049,19.830475,296.85975,5.4223,39.94095,103.270675,215.030975,-4.481825
Fuc(a1-Sp8,5.634575,198.058475,20.218725,16.282125,20.313725,58.710325,2.612025,19.881375,-21.00105,-3.7223,256.821975
Fuc(a1-Sp9,12.317475,154.6801,180.044325,9.51085,133.6095,29.171475,2.269175,5.30595,-25.99235,-6.772375,251.259925
Neu5Ac(a1-Sp8,0.9289,116.01805,37.990225,51.48545,9.88025,27.507875,11.28185,26.18025,-14.05145,-9.200575,-7.3068
Neu5Ac(a1-Sp11,19.941275,127.3409,17.760975,26.1144,6.588075,-38.11385,7.823775,23.70965,-3.20385,-10.796025,-9.086025
Neu5Ac(b1-Sp8,16.909575,92.871775,101.0868,27.311875,11.446175,113.630675,-4.21575,-2.25585,-15.7878,-8.65935,-15.8055
Gal(b1-Sp8,37.41765,367.782775,16.764675,18.88895,15.514925,193.7094,13.2797,18.36785,-13.437325,-11.101325,13.15915
Glc(b1-Sp8,23.5359,697.6503,17.6487,7.448475,23.05125,739.43075,24.6088,27.832825,-19.865175,-22.724075,10.020625
Man(b1-Sp8,5.843725,425.461675,77.0316,15.378625,17.911825,962.841625,66.758825,18.100075,-21.9275,89.2588,5.435025
GalNAc(b1-Sp8,21.8252,340.985975,34.46445,53.09485,41.1528,-4.654775,23.6868,47.717625,5072.006525,7.42745,17.0513
GlcNAc(b1-Sp0,39.219325,141.326775,22.8988,37.14335,24.151825,67.85445,30.795675,27.204825,-25.9346,-3.219175,2.497325
GlcNAc(b1-Sp8,49.739325,238.05475,17.17025,10.8815,21.68415,18.359,-4.3252,48.08165,-22.78585,15.0351,5.827925
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,0.688225,491.439175,32.2391,20.17965,36.644475,12.8888,8.057075,62.0689,-5.98465,-0.545475,-2.6839
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(b1-Sp14,22.37735,66.45605,43.8834,15.896225,32.391825,124.0504,2.7974,8.587175,-27.827725,9.419975,18.81065
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(b1-Sp8,6.710725,75.22155,46.62365,7.793075,5.198175,-60.195325,177.990575,42.467025,-16.113775,5.4108,-2.432125
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,16.260025,38.2738,48.26855,22.183125,78.5495,7074.975575,2.02595,26.8335,-28.032925,1183.22835,-26.630475
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,15.176225,89.42455,57.50715,27.295825,15.227275,-122.613125,4.841675,15.26875,-14.235875,7.264,-20.813175
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(1-Sp0,23.965275,42.166025,21.98875,21.413325,21.7199,738.0663,43.29375,45.1846,-33.170325,-14.4137,36.39555
(3S)Gal(b1-4)Glc(b1-Sp8,29.959775,388.89475,23.537475,91.3963,33.1139,14658.36805,4.7676,11.6967,-8.824175,14851.05038,-7.6196
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,10.438975,467.7346,34.40305,642.21645,12.791125,28583.2658,13.046675,10.66915,-13.43975,15964.39638,0.616275
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,20.02365,110.229825,47.795675,500.594575,170.724125,27769.83018,5.509375,15.5051,-0.27405,20253.33105,0.96755
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,8.25975,216.01835,360.17505,15.052575,38.224775,72.200525,-2.784225,15.170825,-26.276725,15.222,-8.949025
